@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-V-R11,8,5,7,4,3,6,2,9,1,10,12'

@attribute alcohol numeric
@attribute density numeric
@attribute chlorides numeric
@attribute totalsulfur numeric
@attribute residualsugar numeric
@attribute citricacid numeric
@attribute freesulfur numeric
@attribute volacid numeric
@attribute pH numeric
@attribute fixedacid numeric
@attribute sulphates numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
9.2,0.99822,0.045,147,16.05,0.24,31,0.33,3.08,6.6,0.52,5
9.5,0.99402,0.053,71,2.6,0.33,11,0.26,2.89,8.2,0.49,5
9.5,0.99404,0.053,72,2.5,0.33,12,0.25,2.89,8.3,0.48,5
10.3,0.99787,0.039,184,10.8,0.26,37,0.26,3.47,7,0.58,7
8.7,0.99838,0.041,161,12.1,0.78,53,0.28,2.98,7.5,0.44,5
10.2,0.99375,0.038,128,1.7,0.32,27,0.28,3.2,7,0.62,6
10.1,0.99155,0.029,77,0.8,0.34,26,0.16,3.25,5.2,0.51,6
9.5,0.99434,0.056,176,1.3,0.34,34,0.25,3.1,7.6,0.51,5
11.6,0.9922,0.022,174,6.3,0.4,23,0.35,3.54,5.6,0.5,7
10.7,0.99571,0.032,97,10.3,0.23,12,0.24,3.13,8.8,0.4,6
10.1,0.99658,0.043,142,15.55,0.21,20,0.29,3.11,6,0.54,6
11.1,0.99076,0.035,83,1.5,0.31,17,0.27,3.32,6.1,0.44,7
9.8,0.99496,0.071,117,1.5,0.09,19,0.56,3.22,7.4,0.53,5
11.1,0.99076,0.035,83,1.5,0.31,17,0.27,3.32,6.1,0.44,7
9.5,0.99542,0.047,215,7.9,0.37,58,0.27,3.19,6.3,0.48,6
9.4,0.99825,0.052,143,13,0.3,18,0.24,3.37,6.6,0.49,6
10.2,0.99289,0.049,113,1,0.3,22,0.32,3.24,6.8,0.61,5
9.5,0.99523,0.047,201,7.1,0.37,54,0.26,3.19,6.2,0.48,6
9.5,0.99542,0.047,215,7.9,0.37,58,0.27,3.19,6.3,0.48,6
9,0.9959,0.05,191,7.5,0.16,55,0.3,3.17,6.4,0.49,5
10.1,0.99543,0.045,204,7.6,0.32,61,0.28,3.1,8,0.55,6
8.8,0.99662,0.079,122,10.3,0.32,37,0.24,3.02,6.7,0.45,5
11.9,0.99088,0.034,122,1.7,0.27,25,0.27,2.97,7.9,0.51,6
11.9,0.99088,0.034,122,1.7,0.27,25,0.27,2.97,7.9,0.51,6
9.3,0.99922,0.074,174,19.95,0.24,32,0.28,3.19,6.1,0.44,6
10,0.9966,0.036,110,7.7,0.49,11,0.39,3.33,7.7,0.76,6
9.3,0.99922,0.074,174,19.95,0.24,32,0.28,3.19,6.1,0.44,6
9.7,0.99836,0.054,139,12.7,0.23,20,0.31,3.16,7.6,0.5,4
9.7,0.99836,0.054,139,12.7,0.23,20,0.31,3.16,7.6,0.5,4
10.8,0.99645,0.031,96,11.3,0.25,13,0.23,3.11,8.6,0.4,5
11.4,0.99376,0.039,175,7,0.31,37,0.26,3.32,6.9,0.49,6
8.8,1,0.046,133,18.1,0.36,32,0.21,3.27,6.8,0.48,5
9.8,0.99513,0.039,191,6.4,0.4,39,0.31,3.14,6.4,0.52,5
9.4,0.99556,0.045,119,1.4,0.36,11,0.34,3.17,8.6,0.47,4
9.4,0.99556,0.045,119,1.4,0.36,11,0.34,3.17,8.6,0.47,4
9.4,0.99543,0.054,174,3.1,0.28,54,0.3,3.21,8.5,0.43,6
9.7,0.99526,0.044,212,7.7,0.34,63,0.32,3.22,6.6,0.48,6
12.3,0.99166,0.032,140,5.2,0.31,36,0.34,3.35,7.1,0.47,7
9.8,0.99691,0.045,178,11.6,0.25,45,0.26,3.33,6.6,0.43,6
9,0.99732,0.053,134,10.4,0.57,18,0.27,3.12,8,0.68,5
9.4,0.99656,0.058,215,11.2,0.49,68,0.3,3.19,6.2,0.6,6
9.9,0.99112,0.043,67,0.8,0.29,20,0.175,3.28,5.6,0.48,6
12.3,0.99165,0.029,148,4.7,0.3,34,0.34,3.36,6.9,0.49,7
11.9,0.99004,0.018,37,3.1,0.3,15,0.12,3.02,7.1,0.52,7
10.2,0.99463,0.038,170,4,0.29,33,0.32,3.27,7.1,0.64,6
9.5,0.99683,0.034,224,11.3,0.29,61,0.51,3.14,7.3,0.56,6
9.2,0.99596,0.04,216,8.1,0.55,67,0.24,3.24,6.3,0.5,5
9.7,0.99898,0.054,174,14.8,0.23,28,0.41,3.18,7.5,0.49,5
11.6,0.99306,0.053,174,3.5,0.38,41,0.2,3.22,8.2,0.41,5
9.7,0.99898,0.054,174,14.8,0.23,28,0.41,3.18,7.5,0.49,5
11.5,0.99114,0.029,138,1.4,0.33,35,0.18,3.36,6.5,0.6,7
9.8,0.99345,0.037,109,1.5,0.37,27,0.16,3.38,6.4,0.5,6
10.5,0.99239,0.036,163,1.6,0.12,57,0.3,3.38,5.8,0.59,6
9.4,0.99502,0.049,178,7.1,0.27,8,0.54,3.16,6.7,0.38,4
10.8,0.99479,0.046,149,11.2,0.3,53,0.22,3.21,6.4,0.34,5
10.7,0.99207,0.043,95,1.7,0.3,19,0.23,3.17,6.8,0.46,7
10.6,0.99497,0.029,162,6.7,0.34,21,0.26,3.08,9,0.5,6
9.2,0.99828,0.046,110,17.3,0.25,15,0.23,3.15,6.5,0.42,6
9.5,0.99542,0.032,142,8.6,0.14,30,0.28,3.28,5.9,0.44,6
9.5,0.99542,0.032,142,8.6,0.14,30,0.28,3.28,5.9,0.44,6
10,0.99228,0.028,111,1.5,0.18,20,0.27,3.41,6.2,0.5,5
10.6,0.99706,0.03,177,12.1,0.34,34,0.29,3.13,9,0.47,5
10.6,0.99497,0.029,162,6.7,0.34,21,0.26,3.08,9,0.5,6
10.6,0.99669,0.029,166,10.7,0.34,19.5,0.27,3.13,8.9,0.48,5
11,0.99269,0.036,117,1.8,0.3,28,0.32,3.24,6.9,0.48,6
11.2,0.99196,0.041,159,1.4,0.24,17,0.22,3.25,7.2,0.53,6
9.6,0.99662,0.046,175,7.5,0.38,26,0.5,3.32,6.7,0.54,5
9.4,0.99475,0.052,128,4.8,0.14,27,0.33,3.21,6.2,0.48,5
9.5,0.99544,0.045,209,7.1,0.42,62,0.26,3.2,6.3,0.53,6
9.3,0.99944,0.052,188,16.9,0.47,51,0.2,3.09,7.5,0.62,5
9.4,0.99475,0.052,128,4.8,0.14,27,0.33,3.21,6.2,0.48,5
9.4,0.9966,0.046,110,11.3,0.52,8,0.36,3.07,6.6,0.46,5
11.2,0.99066,0.043,146,1.1,0.42,63,0.13,3.13,6.3,0.72,7
11.2,0.99066,0.043,146,1.1,0.42,63,0.13,3.13,6.3,0.72,7
8.8,0.998,0.033,170,12.9,0.64,54,0.23,3,7.6,0.53,5
11.2,0.9907,0.043,150,1.2,0.44,67,0.15,3.14,6.4,0.73,7
11.2,0.99066,0.043,146,1.1,0.42,63,0.13,3.13,6.3,0.72,7
11.1,0.99106,0.03,103,2.3,0.26,11,0.32,3.06,6.9,0.42,6
11.1,0.99106,0.03,103,2.3,0.26,11,0.32,3.06,6.9,0.42,6
10.6,0.99167,0.037,160,1.4,0.16,28,0.41,2.95,6.6,0.45,6
8.9,0.99902,0.048,240,14.9,0.16,59,0.37,3.13,7.3,0.45,5
12.3,0.98992,0.021,80,1.8,0.24,17,0.21,3.15,6.9,0.46,7
11.4,0.99182,0.028,132,1.8,0.28,39,0.24,3.34,6.6,0.46,5
9.6,0.99556,0.043,207,7,0.36,60,0.28,3.16,6.8,0.49,6
10.3,0.99582,0.034,135,8.6,0.24,25,0.24,3.33,6.6,0.59,6
11.4,0.99182,0.028,132,1.8,0.28,39,0.24,3.34,6.6,0.46,5
12.1,0.98972,0.032,80,1.1,0.32,29,0.16,3.23,7,0.36,6
10.5,0.99273,0.043,154,1.9,0.24,70,0.26,3.18,6.8,0.52,5
8.9,0.99628,0.038,182,10.4,0.42,85,0.17,3.04,6.7,0.44,6
9.4,0.99582,0.039,227,10,0.4,74,0.27,3.18,6.5,0.5,5
9.6,0.99553,0.037,206,8.6,0.36,63,0.25,3.18,6.7,0.5,5
12.6,0.98914,0.014,104,1.7,0.27,45,0.3,3.4,5.8,0.56,7
10.4,0.99976,0.053,174,18.95,0.26,36,0.3,3.2,7.7,0.5,5
9,0.99808,0.062,171,12.8,0.3,19,0.18,3,6.8,0.52,7
9.2,0.9919,0.039,89,0.7,0.25,15,0.14,3.22,5.1,0.43,6
9.7,0.99499,0.068,154,1.4,0.1,25,0.615,3.2,7.2,0.48,4
10.8,0.99482,0.048,147,11.7,0.29,49,0.21,3.22,6.3,0.38,5
10.6,0.99366,0.042,167,1.2,0.34,18,0.52,3.24,8.2,0.39,5
9.8,0.99434,0.046,208,2.1,0.31,28,0.28,3.23,7.8,0.64,5
11.7,0.98958,0.023,115,1.4,0.34,56,0.22,3.18,6.4,0.7,6
9.8,0.99434,0.046,208,2.1,0.31,28,0.28,3.23,7.8,0.64,5
9,0.99938,0.034,185,16,0.27,58,0.32,3.34,6.9,0.6,6
11.3,0.99059,0.042,132,1.1,0.42,51,0.11,3.18,6.8,0.74,7
9.4,0.99835,0.031,185,15.3,0.32,64,0.26,3.31,6.2,0.61,5
11.7,0.98958,0.023,115,1.4,0.34,56,0.22,3.18,6.4,0.7,6
11.3,0.99159,0.025,107,2.8,0.29,37,0.3,3.31,6.7,0.63,7
12,0.98931,0.019,28,0.9,0.3,4,0.2,3.2,7.1,0.36,6
12,0.98931,0.019,28,0.9,0.3,4,0.2,3.2,7.1,0.36,6
9.4,0.99691,0.053,177,11.1,0.46,44,0.27,3.18,6.3,0.67,5
9.4,0.9959,0.038,219,7.8,0.39,61,0.3,3.19,6.5,0.5,5
9.4,0.99628,0.05,140,10.1,0.52,29,0.36,3.07,6.6,0.4,5
12,0.99076,0.021,80,3.2,0.37,20,0.21,3.39,6.15,0.47,5
10.3,0.99678,0.039,129,14.2,0.41,47,0.18,3.28,6.5,0.72,7
10.3,0.99678,0.039,129,14.2,0.41,47,0.18,3.28,6.5,0.72,7
11.3,0.99089,0.026,126,2.9,0.21,48,0.26,3.22,6.6,0.38,7
9.4,0.99537,0.063,150,6,0.35,31,0.35,3.1,6.6,0.47,6
8.7,1.0002,0.041,144,20.4,0.28,40,0.28,3.14,6.5,0.38,5
11.3,0.99089,0.026,126,2.9,0.21,48,0.26,3.22,6.6,0.38,7
10.3,0.99678,0.039,129,14.2,0.41,47,0.18,3.28,6.5,0.72,7
8,0.99332,0.033,159,0.95,0.21,89,0.19,3.34,4.5,0.42,5
10.7,0.99272,0.029,128,1.7,0.23,39,0.17,3.37,7.8,0.41,7
10.2,0.99636,0.03,219,9,0.24,42,0.24,3.47,7,0.46,6
10.9,0.99202,0.044,197,1.3,0,72,0.6,3.56,5.8,0.43,5
10.5,0.99148,0.027,109,1.4,0.26,23,0.445,3.3,5.9,0.36,6
11.7,0.99064,0.012,100,2.4,0.28,36,0.28,3.26,6.7,0.39,7
8.6,0.99884,0.065,186,16,0.2,61,0.44,3.13,6.8,0.45,5
9,0.99773,0.034,174,11.4,0.27,40,0.24,3.2,7.2,0.44,5
8.7,1.00013,0.044,191,14.35,0.73,27,0.31,2.96,8.7,0.88,5
12.8,0.98974,0.062,87,2.1,0.26,26,0.32,3.1,8.2,0.47,6
8.7,1.00013,0.044,191,14.35,0.73,27,0.31,2.96,8.7,0.88,5
11.8,0.99112,0.023,104,1.1,0.38,42,0.13,3.28,7.5,0.53,6
11.6,0.99136,0.034,84,1.1,0.37,36,0.14,3.05,9.2,0.55,6
11.8,0.99132,0.028,89,1.2,0.37,28,0.2,3.14,7.4,0.61,6
10.6,0.99642,0.042,158,15.8,0.35,55,0.15,3.24,6.1,0.37,5
9.7,0.99488,0.066,91,5.2,0.4,14,0.23,3.17,7.6,0.8,5
10.3,0.99527,0.047,151,5.2,0.22,24,0.33,3.22,8.1,0.47,5
10.2,0.99578,0.119,178,9.6,0.24,56,0.17,3.15,7.15,0.44,6
10.1,0.99352,0.048,113,5.2,0.3,38,0.12,3.33,6.7,0.44,7
9.5,0.99561,0.066,162,6.9,0.39,43,0.34,3.11,7,0.53,5
9.3,0.99347,0.069,146,3.4,0.26,25,0.68,3.18,6.4,0.4,5
12.9,0.98936,0.018,80,2.3,0.31,45,0.22,3.06,7.3,0.34,7
8.7,0.99786,0.042,148,11,0.27,45,0.28,3.14,6.4,0.46,5
9.4,0.99705,0.081,303,5.95,0.22,76,0.4,3.4,6.9,0.57,5
10,0.9948,0.039,196,5.4,0.24,60,0.23,3.19,7.1,0.78,4
11.1,0.99116,0.05,129,1.2,0.42,51,0.14,3.27,6.45,0.69,7
12.2,0.98974,0.033,73,1,0.34,27,0.15,3.24,7.1,0.41,6
11.3,0.99154,0.041,178,1.5,0.26,46,0.3,3.19,7.2,0.56,6
10.8,0.99118,0.043,110,1,0.33,46,0.23,3.04,7,0.65,6
11.2,0.99044,0.033,86,1.1,0.25,15,0.13,2.98,8,0.39,8
12.5,0.9914,0.03,91,6.6,0.34,36,0.21,3.32,6.2,0.45,7
9.3,0.9979,0.05,122,8.2,0.41,15,0.4,3.39,8.3,0.49,5
12.9,0.98892,0.03,142,2,0.31,38,0.34,3.4,5.9,0.41,7
12.6,0.99188,0.039,120,2,0.21,21,0.655,3,9.6,1,6
9.3,0.99583,0.046,179,7.5,0.4,45,0.26,3.2,6.8,0.49,5
12.9,0.98892,0.03,142,2,0.31,38,0.34,3.4,5.9,0.41,7
11.9,0.9911,0.037,24,2.85,0.31,5,0.37,3.19,7.9,0.36,6
11.2,0.99094,0.031,93,1,0.33,33,0.1,3.06,7.6,0.68,6
12,0.99014,0.03,150,3.2,0.31,32,0.25,3.18,6.2,0.31,6
9.2,0.99652,0.041,110,7.1,0.28,29,0.18,3.2,7.6,0.42,6
9.3,0.99772,0.061,149,11.2,0.27,46,0.19,2.99,7.2,0.59,6
12.1,0.99367,0.03,136,9.5,0.25,15,0.32,3.1,7.6,0.44,6
11.2,0.99183,0.026,128,1.8,0.29,35,0.21,3.37,6.6,0.48,6
11.2,0.99126,0.029,98,2.6,0.36,28,0.16,3.11,7,0.37,7
9.2,0.99577,0.042,187,8,0.38,56,0.24,3.21,6.6,0.46,5
9.3,0.99772,0.061,149,11.2,0.27,46,0.19,2.99,7.2,0.59,6
9.3,0.99428,0.041,124,3.3,0.25,26,0.3,3.18,6.9,0.5,6
10.7,0.99388,0.03,108,10.3,0.27,26,0.28,3.2,6.2,0.36,6
10.7,0.99388,0.03,108,10.3,0.27,26,0.28,3.2,6.2,0.36,6
11.3,0.9925,0.025,121,9.65,0.28,26,0.23,3.28,5.7,0.38,6
8.8,0.99904,0.048,182,16.4,0.5,36,0.22,3.02,6.5,0.49,6
9.8,0.99208,0.024,166,1.2,0.32,20,0.31,3.05,6.9,0.54,6
8.8,0.99924,0.038,133,16.3,0.36,43,0.23,3.26,6.5,0.41,5
8.8,0.99924,0.038,133,16.3,0.36,43,0.23,3.26,6.5,0.41,5
9.4,0.9956,0.17,201,6.5,0.38,68,0.26,3.19,6.6,0.38,6
9.4,0.99562,0.171,200,6.4,0.39,64,0.26,3.19,6.7,0.38,6
8.8,0.99924,0.038,133,16.3,0.36,43,0.23,3.26,6.5,0.41,5
9.3,0.9958,0.044,189,7.4,0.42,56,0.23,3.22,6.8,0.48,6
8.9,0.99976,0.044,184,13.7,0.34,66,0.25,3.22,7.8,0.75,5
9.4,0.99579,0.043,188,7.45,0.37,59,0.24,3.2,6.8,0.5,6
10.1,0.99541,0.04,179,7.2,0.28,46,0.25,3.14,7.8,0.6,6
9.3,0.99873,0.043,171,13.9,0.64,22,0.37,2.99,8.2,0.8,5
10.4,0.99312,0.038,129,1.7,0.25,29,0.26,3.45,7.5,0.56,6
10.9,0.99276,0.029,160,6.5,0.31,53,0.18,3.03,7.5,0.38,6
10.5,0.99092,0.041,121,1.5,0.31,34,0.17,3.06,6.5,0.46,6
11.4,0.99053,0.035,79,1.7,0.31,24,0.29,3.27,6.5,0.69,7
9.2,0.99858,0.06,190,6.2,0.22,41,0.3,3.18,6.8,0.51,5
9.7,0.9984,0.051,173,6.2,0.36,30,0.51,3.09,7.9,0.53,5
10,0.99335,0.049,135,2.6,0.34,13,0.51,3.09,7.9,0.51,5
11.4,0.99053,0.035,79,1.7,0.31,24,0.29,3.27,6.5,0.69,7
10.3,0.9949,0.048,141,9.3,0.28,50,0.29,3.13,7.1,0.49,6
9.9,0.9962,0.051,213,12.4,0.28,86,0.35,3.16,6.5,0.51,6
9.8,0.99532,0.047,95,9.1,0.28,29,0.2,3.16,7.4,0.47,7
9.3,0.99727,0.067,131,12,0.42,24,0.615,3.19,6.9,0.34,5
9.5,0.9952,0.048,165,2.7,0.28,49,0.23,3.26,8,0.72,6
10.5,0.99144,0.034,45,3.6,0.33,9,0.27,3.08,6.7,0.4,6
10.5,0.99144,0.034,45,3.6,0.33,9,0.27,3.08,6.7,0.4,6
12.8,0.99015,0.032,99,4.3,0.22,19,0.44,3.26,6.7,0.53,7
10,0.99693,0.057,127,11.8,0.33,48,0.26,3.1,7.3,0.55,6
10,0.99693,0.057,127,11.8,0.33,48,0.26,3.1,7.3,0.55,6
11.8,0.99035,0.045,170,1.8,0.34,96,0.17,3.38,5.8,0.9,8
11.9,0.98994,0.026,70,1.55,0.27,15,0.315,3.37,5.8,0.4,8
10.6,0.98985,0.027,28,0.7,0.28,5,0.17,3.13,5.9,0.32,5
9.2,0.99477,0.038,97,4.3,0.26,18,0.12,3.36,5.6,0.46,5
10.2,0.99576,0.055,144,5.8,0.35,25,0.18,3.24,7.7,0.54,6
10.7,0.99244,0.05,163,1.4,0.35,8,0.32,3.24,7.3,0.42,5
12.1,0.99084,0.048,119,1.2,0.34,4,0.3,3.18,7.7,0.34,6
9.5,0.99612,0.05,152,7.4,0.3,58,0.16,3.12,7.9,0.37,6
12.1,0.99084,0.048,119,1.2,0.34,4,0.3,3.18,7.7,0.34,6
10.7,0.99244,0.05,163,1.4,0.35,8,0.32,3.24,7.3,0.42,5
12.5,0.99144,0.035,93,3.6,0.32,22,0.39,3.08,7.6,0.6,7
11.7,0.99352,0.045,131,10.05,0.32,37,0.36,3.09,7,0.33,8
11.7,0.99352,0.045,131,10.05,0.32,37,0.36,3.09,7,0.33,8
11.6,0.9935,0.045,135,10.5,0.32,35,0.36,3.09,7,0.33,8
11.3,0.99237,0.043,111,1.9,0.36,24,0.2,3.29,7.6,0.54,6
12.5,0.99144,0.035,93,3.6,0.32,22,0.39,3.08,7.6,0.6,7
11.4,0.99022,0.025,103,1.65,0.37,42,0.2,3.11,6.7,0.45,5
12.2,0.99032,0.036,117,1.9,0.34,4,0.235,3.4,6.2,0.44,5
11.7,1.03898,0.074,160,65.8,0.6,8,0.965,3.39,7.8,0.69,6
10.4,0.99587,0.053,211,6.85,0.31,32,0.2,3.31,7.1,0.59,6
10.4,0.99587,0.053,211,7.4,0.31,32,0.2,3.31,7.1,0.59,6
9.1,0.99976,0.083,157,20.2,0.25,35,0.24,3.17,6.4,0.5,5
9.1,0.99976,0.083,157,20.2,0.25,35,0.24,3.17,6.4,0.5,5
9.4,0.99552,0.066,176,6.2,0.42,41,0.4,3.12,6.9,0.54,5
9.4,0.99552,0.065,178,6.2,0.43,42,0.4,3.11,6.9,0.53,5
10.4,0.99587,0.053,211,6.85,0.31,32,0.2,3.31,7.1,0.59,6
9.4,0.99584,0.046,183,8.2,0.44,52,0.26,3.2,6.8,0.51,5
13.5,0.98894,0.033,107,2.2,0.3,39,0.37,3.22,6.5,0.53,7
9.4,0.9963,0.053,151,10.1,0.53,37,0.35,3.07,6.8,0.4,5
10.9,0.993,0.028,83,7.2,0.32,15,0.22,3.13,6.4,0.55,8
9.4,0.9963,0.053,151,10.1,0.53,37,0.35,3.07,6.8,0.4,5
11.4,0.99068,0.036,114,1.6,0.32,34,0.31,3.19,6.9,0.45,7
12.4,0.98964,0.036,125,1.3,0.37,45,0.16,3.19,6.7,0.51,7
9.4,0.99584,0.046,183,8.2,0.44,52,0.26,3.2,6.8,0.51,5
10.5,0.9923,0.038,79,5.3,0.31,8,0.15,3.3,5.6,0.39,6
11.5,0.99437,0.031,99,14,0.32,16,0.15,3.26,5.5,0.38,8
8.9,0.99801,0.038,148,11.8,0.71,52,0.17,3.03,7.5,0.46,5
12.2,0.99067,0.049,153,2.7,0.31,25,0.32,3.44,5.8,0.73,7
12.1,0.99066,0.025,100,3.6,0.31,22,0.26,2.99,7.8,0.47,7
10.1,0.9934,0.026,109,1.6,0.34,27,0.16,3.34,6.7,0.58,6
12.2,0.99067,0.049,153,2.7,0.31,25,0.32,3.44,5.8,0.73,7
13,0.98912,0.032,71,1,0.39,14,0.19,3.31,6.7,0.38,7
11,0.99066,0.038,72,0.9,0.24,15,0.36,3.23,6.6,0.39,5
9.3,0.9958,0.052,148,10.6,0.47,69,0.11,2.91,6,0.34,4
11.4,0.99052,0.042,123,2,0.34,63,0.21,3.44,6,0.42,6
9.2,0.99312,0.152,120,1.2,0.82,49,0.325,2.99,6.7,0.38,5
9.9,0.9968,0.056,241,6.2,0.46,42,0.4,3.5,6.6,0.6,5
12.4,0.99084,0.04,56,5,0.34,18,0.27,3.06,7.6,0.48,6
9.5,0.99573,0.047,172,6.3,0.4,52,0.26,3.18,7.2,0.53,6
10.5,0.99256,0.048,161,3.3,0.22,41,0.25,3.16,6.3,0.5,6
9.1,0.9959,0.053,196,8,0.45,52,0.22,3.23,6.5,0.48,6
11.5,0.99084,0.034,138,1.2,0.31,53,0.14,3.38,6.4,0.35,7
11.2,0.99644,0.044,170,16.2,0.32,31,0.26,3.17,7.1,0.37,5
11,0.99095,0.031,73,1.1,0.3,13,0.17,3.17,6.6,0.58,6
11.3,0.99188,0.048,112,3.4,0.28,22,0.44,3.21,7.2,0.37,7
10.5,0.99256,0.048,161,3.3,0.22,41,0.25,3.16,6.3,0.5,6
9.1,0.9959,0.053,196,8,0.45,52,0.22,3.23,6.5,0.48,6
10.4,0.99581,0.05,154,9.3,0.3,35,0.26,3.21,7.3,0.5,6
11.2,0.99132,0.033,82,2.3,0.29,14,0.15,3.1,6.9,0.58,7
11.1,0.98936,0.034,89,0.9,0.29,34,0.22,3.14,5.8,0.36,7
11.2,0.99136,0.036,92,3.5,0.33,23,0.37,3.18,6.5,0.38,6
10.5,0.99142,0.036,98,1.7,0.38,17,0.375,3.29,5.5,0.39,6
10,0.99232,0.047,92,1.3,0.4,23,0.2,3.2,5.9,0.45,6
10.9,0.99311,0.028,87,7.4,0.29,16,0.22,3.15,6.5,0.56,7
9.5,0.99776,0.169,210,10,0.37,22,0.43,3.02,7.7,0.64,5
9,0.99839,0.053,136,14.9,0.29,55,0.24,3.03,6.7,0.52,5
10,0.99574,0.052,86,9.3,0.34,19,0.23,3.04,7.3,0.56,5
11.9,0.99093,0.041,154,1,0.39,37,0.2,3.08,7.9,0.43,5
10.6,0.99156,0.028,101,1,0.39,40,0.16,3.57,5.3,0.59,6
11,0.99278,0.047,101,5.9,0.28,29,0.21,3.15,6.4,0.4,6
11.2,0.9924,0.027,143,5,0.26,46,0.33,3.25,6.9,0.43,7
12,0.98984,0.034,129,1.25,0.58,29,0.18,3.51,5.6,0.6,7
12.6,0.99035,0.027,96,3.9,0.31,39,0.29,3.24,6.6,0.6,8
11.2,0.9924,0.027,143,5,0.26,46,0.33,3.25,6.9,0.43,7
10.5,0.99165,0.034,113,0.8,0.36,48,0.21,3.24,6.6,0.68,6
11,0.99278,0.047,101,5.9,0.28,29,0.21,3.15,6.4,0.4,6
12.2,0.99008,0.028,90,1.6,0.32,12,0.11,3.57,5.1,0.52,6
10.6,0.99156,0.028,101,1,0.39,40,0.16,3.57,5.3,0.59,6
10.4,0.9909,0.032,115,1.1,0.46,33,0.19,3.36,5.6,0.5,6
12.7,0.9889,0.021,121,1.4,0.32,22,0.48,3.15,6.7,0.53,7
12.1,0.98976,0.03,121,1.5,0.36,74,0.23,3.24,5.4,0.99,7
11.4,0.99046,0.037,84,1.7,0.38,20,0.15,3.09,6.7,0.53,6
10.7,0.99672,0.04,135,13.9,0.31,57,0.22,3.21,6.4,0.38,5
9.3,0.99482,0.045,162,5.9,0.55,75,0.15,2.97,6.5,0.4,5
11.7,0.98883,0.029,88,1.1,0.3,24,0.37,3.18,5.7,0.39,6
11.8,0.99075,0.033,94,2.7,0.28,38,0.21,2.99,7.2,0.43,7
9.9,0.99436,0.039,125,6.7,0.3,37,0.24,3.2,7,0.39,5
12.8,0.99158,0.032,114,7.75,0.32,30,0.28,3.12,7,0.64,7
12.8,0.99265,0.033,87,10.6,0.3,24,0.4,3.15,6.9,0.45,6
11.5,0.99168,0.032,84,2.5,0.28,24,0.2,3.31,6.4,0.55,5
12.4,0.9895,0.035,138,5.15,0.29,64,0.285,3.19,5.2,0.34,8
10.2,0.9932,0.041,148,4.7,0.3,40,0.2,3.16,6.9,0.35,6
9,0.99848,0.054,234,9.7,0.46,67,0.42,3.23,6.7,0.5,5
12,0.9909,0.038,153,1.7,0.34,85,0.16,3.33,6.2,0.86,7
11.7,0.99014,0.044,68,1.4,0.36,22,0.125,3.15,6.4,0.5,7
10,0.9952,0.054,180,2,0.26,20,0.44,3.58,6.4,0.57,5
10.3,0.99652,0.055,218,7.5,0.39,42,0.31,3.37,7,0.54,5
9,0.99848,0.054,234,9.7,0.46,67,0.42,3.23,6.7,0.5,5
9,0.99772,0.05,150,13.1,0.26,59,0.21,3.31,6.2,0.46,5
9.4,0.99622,0.036,155,8.9,0.14,38,0.36,3.27,6.2,0.5,5
11.4,0.9902,0.035,81,1.1,0.25,26,0.21,3.31,5.7,0.52,6
10.8,0.99114,0.034,114,0.9,0.32,40,0.25,3.31,6.4,0.58,7
9.8,0.9938,0.073,157,1.7,0.26,40,0.31,3.1,7.6,0.46,5
9.3,0.99594,0.047,183,6.9,0.46,59,0.26,3.2,6.6,0.45,5
11.4,0.9902,0.035,81,1.1,0.25,26,0.21,3.31,5.7,0.52,6
11.3,0.99035,0.031,73,1,0.31,22,0.2,3.24,6.2,0.52,6
11.3,0.99032,0.031,73,1,0.3,23,0.18,3.23,6.2,0.52,6
9.4,0.99622,0.036,155,8.9,0.14,38,0.36,3.27,6.2,0.5,5
11.4,0.99043,0.041,81,1,0.38,22,0.14,3.03,6.9,0.54,6
11.4,0.99043,0.041,81,1,0.38,22,0.14,3.03,6.9,0.54,6
12.7,0.98982,0.053,128,3.1,0.26,57,0.44,3.22,6,0.39,6
13.5,0.98934,0.033,118,1.95,0.4,26,0.36,3.2,7.1,0.45,7
11.2,0.9902,0.019,65,2.2,0.28,15,0.28,3.06,5.7,0.52,6
10.7,0.99449,0.038,118,8.75,0.32,38,0.16,3.19,6.4,0.41,5
10.8,0.99629,0.032,92,11.9,0.4,13,0.28,3.01,7.4,0.46,4
13,0.98984,0.014,137,5.45,0.47,44,0.44,3.13,6.5,0.32,8
10.8,0.99326,0.029,131,6.3,0.31,41,0.22,3.08,6.9,0.49,6
9.1,0.99834,0.046,118,14.4,0.29,39,0.22,3.05,6.6,0.5,6
11.9,0.98975,0.028,59,1.6,0.33,13,0.155,3.3,5.2,0.84,8
12,0.99216,0.036,140,9.1,0.31,45,0.31,2.98,7,0.31,7
9.1,0.99834,0.046,118,14.4,0.29,39,0.22,3.05,6.6,0.5,6
11.6,0.9901,0.041,147,1.3,0.4,81,0.21,3.22,5.6,0.95,8
11.9,0.98975,0.028,59,1.6,0.33,13,0.155,3.3,5.2,0.84,8
10.2,0.99573,0.038,192,11.3,0.32,69,0.25,3.14,6.4,0.5,6
10.8,0.99326,0.029,131,6.3,0.31,41,0.22,3.08,6.9,0.49,6
